1,Brannigan,FWD,72.9
2,Tagline,BABS,75.9
3,U-Bet!,EVG,74.5
4,'Shoptimus Prime,ONT,75.3
5,Momentous,RMD,70.6
6,Trocadero,SNOBS,79.6
7,Let's Hear It Four!,JAD,67.9
8,River Road Ringers,SWD,73.1
9,Timepiece,NED,69.4
10,Goodfellas,FWD,72.8
11,Flightline,FWD,73.7
12,The Sunny Boys,SUN,76.6
13,Riverside Ringers,NSC,70.7
14,The Good Old Days,MAD,74.4
15,Shockapella,CSD,66.4
16,G-Fours,PIO,74.3
17,The Mission,NZABS,74.2
18,The Con Men,JAD,76.7
19,Ocean's 4,SNOBS,73.1
20,Backstab,SNOBS,77.5
21,Kordal Kombat,LOL,70.1
22,Fundamental Frequency,SLD,73.7
23,Yonge Guns,ONT,73.3
24,The Academy,SUN,77.4
25,The InsurGents,DIX,72.6
26,Yes Gary,EVG,74.5
27,Frim Fram Productions,SUN,73.7
