pk,champion
01de37b674e149e6baa9fbeafe6b8ed7,6c8d350b9ec24fed97ade8857ef81cc5
076f226462534886bba0ca575dcac684,490ac2fe1741494f935bc7ae9c4e6d11
087daf7b27c048deb9f77ecb7f2b9d12,722fc92827f8412ead403c302ca89faa
0b32bcd600e34a6f86c36300e3782458,33dfcbc6260a43fd82a67990604b0898
0b62769a70f842c3ba9eff3a772d1de1,46e89f70fa32461d807ce9ca64470547
0bc7b273676143348d3a303e4c0b8fea,6942b8c83ca3418bb1c6f30808728847
0f6a4cd9b4474168914a3083f621d72a,28a8a54793064076b2e67a141be3d16f
106a8e4e86724b54ad622c9a5aabeeef,3eae3ab7a85c46f3ab11ca1db2999ae3
10d5dbbe10864ac99175c73f03225184,e2cb5fe89e2c45f99528d6951e715d48
1225e3b760aa455b81faa718c8f4bc14,835b15a6eba34fb3b2d7772128a7ff41
1260c59870b74459bf120be9d96ba10a,0b9b00fd164c4938948f37d1ee621b62
14ad448b9dcb4f698feefc56c43f97cf,f564216dd2324214aaa9275199f942f3
18cbe8fb9b994a47b7ee78d6779684c1,c1ee21dd08364366988973f9349ccc20
1bf149faa0b64611b88059ef680d31ae,03d4b42101ad4ab0b6034816bdabc42c
1d194ada3afa4acb813f78d1856167e4,b2f89ee277f04f16b1d38cb531d4fcd4
1d9b10807e8841d9b8ec5422474f72fe,11e66963fc2c4bd1bbc0bd3487a5779c
2085c7ca2bfc4c208baedc4ea789291e,66cb61ef8d0745e5a158d4a6a43a9f24
2854f218baf645089e923bc1d94d6755,cf2bdc58b37a4fcbaeea61956ceca0d6
292c504303d94c61b6937ce0c7e801d2,ba5288ce22db436ab661127f90e0bb64
2a07d8e5b37447ff890cd915d9237c99,8ef73e5fd93142aab41c4cd12c46554c
2a20d7347b72405a8600608f2db0329e,f76490ebe3f6448c98ecf56a5bc8c0e4
2af6e64c85ef44679da2507aaa7ef90c,05a44a9de64f4c03a9609130cead6b76
2c4679e4984b4dc48084126fefabd32e,8efe119fa9f744e79defbb5eafe78a48
2ed935e069954aa4ac9c0783b5871a48,2a48c0fe1a5f4435a3245a7943a1cbb6
2f7a46175f84454cb5b1f40225ed7a45,47ab0222866e43ffb559d5b42ad25d7e
3131a72cac5c4d1ca4571dfb90d2a35f,432f7c99972d417a98982c618171a8f1
314afd249d2a490cbdc914669e34b3ef,29f8cba16dd04fc2b688641f42c3964d
347d322ddb6144669509772c1d316ddc,48b80ecac5db474fb6dfa9eb60cdc542
34e49994b1444ac8986ef38d573e017c,69f0fd4212ec4c99a01139e2a6f61c62
361719cf0f1541ababcb4d3ab7941a83,af09e911f75a470aa6714b9e1a37dfaa
36bdfbc9b26c4aeda17a8e8fe33efab6,277dc4f0bf8e40d6be4135030a3c8a2d
39910bc790c642c9b904e66afd8fdd37,19c84a9904214b98b225a106bc2719f1
3c83a2d53d1940dfb0ee1eba0a2c7e25,bd5d50c3a24049898a851554b2dff504
3d057f6a3dbe4c7e8e4cb27e92a2a2a1,78955e0c208649a7a158b97ec0afaa5b
3de38ffdc5814563a44fb8ba2db45fdd,16ce4acbbe314eefbf654867add90182
402b71850e0846ebb7ed3c03e08595aa,89a91dfbfc5746ab9964b8cca6163c5a
41a51c88d4b244e4945b429584c4b6c6,b3ee5374f4b149719ddff6661801edfe
44ee1a164f014b82ae41721171381db9,1d67d1ac5b6147fc9aca5c0ef112df7a
4dffa65c5a714897802a44a33283d381,a99ca55d33f04a30af97552873c3ad65
4f1be566f601421881a3edf9c3fdfcfe,904f40dc8c7740c2998b28a85bc6125e
4febf03895dd43a3829961c6380ad05a,6e8bbb4725fe4446917af34d2a0ffa79
4ffe2697b6514bd0accdbc8080d7fde9,62a7f73c0f164439a4018e0bb18ae404
50b9b52e849149d3930aa39b4acc0041,b63e62db7df44c99a789963e5f121dd4
51234cc463ae4cb590c443dbd643415c,617fdbc1c04f41bf9a2c97202461ff20
5215d6c732564e6789d6e5f5435b977b,a01fba574625450aaaa149e1997119f9
52e5a747ea094319b92336265c2df2e7,b088104bd0de448ba14a8b3488433720
54d5a9d927484afb8c2f936f266e6ae3,12f6a3ac81c04727a25170324a19be0a
5506384560cf4f12a88e5dabb980e014,b1538e5dcde44366b30e71d58b9ccc85
5824e13e24bb456da16ae51b272083fc,5ac13f08d0e04329bb4d2cbb8d32c40a
5962c8794e24416d9a7b9e23c3ae8a7c,6aa690a3e33041f5981229d3cfdba912
