BBSTIX, BHS, International Collegiate Quartet Preliminary Contest
Rocky Mountain District, Estes Park, Colorado, April 24, 2015
Subsessions: Quartet Finals Collegiate (5), 1=Rocky Mountain District International Preliminary Collegiate Qt (DR/Score), 2=Rocky Mountain District Scores for Evaluation Only
Judge Count: 5
Panel - Quartet Finals Collegiate:, "1 (MUS)=Sgrignoli, Rod", "2 (PRS)=Coffin, John", "3 (SNG)=Richards, Chris", "51 (MUS)=Dougherty, Jay", "52 (SNG)=Scott, Steve"
Session: Quartet Finals Collegiate, "Contestant Name: The Pine", "Subsessions: 1", OA: 1, Song Nbr: 1, "Song Title: Surfer Girl", 66, 68, 66, 71, 68
Session: Quartet Finals Collegiate, "Contestant Name: The Pine", "Subsessions: 1", OA: 1, Song Nbr: 2, "Song Title: It Happened In Monterey", 67, 69, 68, 72, 67
Session: Quartet Finals Collegiate, "Contestant Name: Root 16", "Subsessions: 2", OA: 2, Song Nbr: 1, "Song Title: Peg O' My Heart", 63, 67, 65, 69, 64
Session: Quartet Finals Collegiate, "Contestant Name: Root 16", "Subsessions: 2", OA: 2, Song Nbr: 2, "Song Title: What'll I Do?", 60, 67, 66, 66, 63
Session: Quartet Finals Collegiate, "Contestant Name: Mile High Harmony", "Subsessions: 1", OA: 3, Song Nbr: 1, "Song Title: Consider Yourself", 65, 65, 64, 70, 67
Session: Quartet Finals Collegiate, "Contestant Name: Mile High Harmony", "Subsessions: 1", OA: 3, Song Nbr: 2, "Song Title: The Sweetheart Of Sigma Chi", 67, 66, 66, 67, 66
Session: Quartet Finals Collegiate, "Contestant Name: Nuance", "Subsessions: 2", OA: 4, Song Nbr: 1, "Song Title: Among My Souvenirs", 64, 55, 58, 56, 62
Session: Quartet Finals Collegiate, "Contestant Name: Nuance", "Subsessions: 2", OA: 4, Song Nbr: 2, "Song Title: Do You Know What It Means To Miss New Orleans?", 65, 57, 61, 62, 63
Session: Quartet Finals Collegiate, "Contestant Name: Three Guys and Another Guy", "Subsessions: 1", OA: 5, Song Nbr: 1, "Song Title: Among My Souvenirs", 62, 63, 51, 59, 50
Session: Quartet Finals Collegiate, "Contestant Name: Three Guys and Another Guy", "Subsessions: 1", OA: 5, Song Nbr: 2, "Song Title: 'Deed I Do", 65, 64, 49, 62, 49
